Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~new_allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  0.00      0.01     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::~allocator()
  0.00      0.01     0.00        2     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
  0.00      0.01     0.00        2     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::map()
  0.00      0.01     0.00        2     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~map()
  0.00      0.01     0.00        2     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::operator[](std::string const&)
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::lower_bound(std::string const&)
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, true>::_M_initialize()
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, true>::_Rb_tree_impl()
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree_impl<std::less<std::string>, true>::~_Rb_tree_impl()
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_Rb_tree()
  0.00      0.01     0.00        2     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::~_Rb_tree()
  0.00      0.01     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN26MatrixOperationBatchTester10setOptionsEiPPc
  0.00      0.01     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6MatrixIfE6equalsES0_
  0.00      0.01     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN7OptionsC2EiPPc
  0.00      0.01     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      0.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.01     0.00        1     0.00     0.00  MatrixOperator<double>::multiply(Matrix<double>, Matrix<double>)
  0.00      0.01     0.00        1     0.00     0.00  MatrixOperator<double>::MatrixOperator(int, char**)
  0.00      0.01     0.00        1     0.00     0.00  MatrixOperationBatchTester::setOptions(int, char**)
  0.00      0.01     0.00        1     0.00     0.00  MatrixOperationBatchTester::parseNMatrices(std::basic_ifstream<char, std::char_traits<char> >&)
  0.00      0.01     0.00        1     0.00     0.00  void MatrixOperationBatchTester::saveOutputMatrix<double>(Matrix<double>)
  0.00      0.01     0.00        1     0.00     0.00  Matrix<double>* MatrixOperationBatchTester::loadInputMatrices<double>()
  0.00      0.01     0.00        1     0.00    10.00  void MatrixOperationBatchTester::runTest<double>(int, char**)
  0.00      0.01     0.00        1     0.00    10.00  MatrixOperationBatchTester::MatrixOperationBatchTester(int, char**)
  0.00      0.01     0.00        1     0.00     0.00  MatrixOperationBatchTester::~MatrixOperationBatchTester()
  0.00      0.01     0.00        1     0.00    10.00  Matrix<double>::equals(Matrix<double>)
  0.00      0.01     0.00        1     0.00     0.00  std::ostream& operator<< <double>(std::ostream&, Matrix<double>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 100.00% of 0.01 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.01                 main [1]
                0.00    0.01       1/1           MatrixOperationBatchTester::MatrixOperationBatchTester(int, char**) [4]
                0.00    0.00       1/1           MatrixOperationBatchTester::~MatrixOperationBatchTester() [163]
-----------------------------------------------
                0.01    0.00     600/600         Matrix<double>::equals(Matrix<double>) [5]
[2]    100.0    0.01    0.00     600         std::abs(double) [2]
-----------------------------------------------
